,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
238,Kyle Weems,TOF,10.0,32.4,13.6,4.9,9.1,0.538,1.9,3.9,0.487,1.9,2.2,0.864,0.6,3.8,4.4,1.1,1.8,0.4,1.1,2.9,2019.0,False,198.0,105.0,Eurocup
239,Errick McCollum,UNI,20.0,22.1,13.2,3.9,8.8,0.438,1.2,3.4,0.353,4.3,5.2,0.835,0.9,1.9,2.8,1.8,0.7,0.3,1.5,2.3,2019.0,False,188.0,77.0,Eurocup
240,Milos Teodosic,BOL,15.0,26.3,17.8,5.3,11.0,0.479,2.9,7.1,0.406,4.4,5.0,0.88,0.1,2.6,2.7,5.5,0.5,0.3,3.3,1.9,2020.0,True,196.0,89.0,Eurocup
241,Errick McCollum,UNI,16.0,28.5,17.1,5.0,11.6,0.43,1.9,5.4,0.36,5.2,6.2,0.838,0.4,2.7,3.1,4.0,1.1,0.4,2.1,2.4,2020.0,False,188.0,77.0,Eurocup
242,Klemen Prepelic,JOV,15.0,25.8,17.0,4.7,12.3,0.384,2.0,7.2,0.278,5.5,6.6,0.838,0.7,1.7,2.3,3.9,0.9,0.1,2.9,2.6,2020.0,True,191.0,77.0,Eurocup
243,Rasid Mahalbasic,EWE,15.0,26.0,16.3,6.4,11.0,0.582,0.4,1.1,0.353,3.1,4.1,0.742,1.5,5.1,6.7,5.0,1.1,0.4,2.5,3.4,2020.0,True,211.0,100.0,Eurocup
244,Aaron Harrison,GAL,16.0,31.1,15.9,4.5,10.9,0.411,2.8,7.3,0.379,4.2,4.9,0.859,0.5,2.4,2.9,2.8,1.1,0.3,2.3,2.6,2020.0,False,198.0,95.0,Eurocup
245,Kenny Chery,N92,8.0,27.5,15.9,5.3,11.6,0.452,2.3,5.5,0.409,3.1,3.3,0.962,0.8,1.8,2.5,3.3,0.9,0.0,1.3,3.3,2020.0,True,180.0,82.0,Eurocup
246,Alex Hamilton,MRL,10.0,32.8,15.8,5.3,10.8,0.491,0.9,2.7,0.333,4.3,5.8,0.741,0.8,3.2,4.0,5.3,2.2,1.1,3.6,1.4,2020.0,False,193.0,88.0,Eurocup
247,Justin Cobbs,BUD,9.0,32.0,15.4,5.1,11.4,0.447,0.8,2.2,0.35,4.4,5.6,0.8,0.1,2.3,2.4,7.3,1.0,0.0,2.2,2.0,2020.0,True,191.0,86.0,Eurocup
248,Jamar Smith,UNI,15.0,27.8,15.2,5.8,11.1,0.524,3.1,5.9,0.528,0.5,0.6,0.778,0.5,1.5,2.0,3.7,1.1,0.3,1.9,1.8,2020.0,False,191.0,84.0,Eurocup
249,Codi Miller-McIntyre,COL,10.0,29.7,15.2,6.4,12.7,0.504,0.8,2.9,0.276,1.6,2.1,0.762,1.1,3.9,5.0,4.5,1.8,0.0,2.0,2.9,2020.0,False,193.0,93.0,Eurocup
250,Devin Williams,TOF,16.0,25.4,15.1,5.4,10.3,0.527,0.0,0.4,0.0,4.2,6.0,0.698,3.2,4.9,8.1,1.5,0.5,0.1,2.3,2.7,2020.0,False,206.0,116.0,Eurocup
251,Dallas Moore,N92,10.0,28.6,14.6,5.2,11.1,0.468,2.8,6.0,0.467,1.4,1.7,0.824,0.6,1.3,1.9,2.5,0.3,0.1,1.0,2.2,2020.0,True,185.0,82.0,Eurocup
252,Zoran Dragic,RUL,7.0,25.5,14.1,4.3,11.1,0.385,1.6,5.0,0.314,4.0,6.3,0.636,0.6,1.6,2.1,2.0,1.1,0.0,1.7,2.4,2020.0,True,196.0,91.0,Eurocup
253,Alessandro Gentile,TREN,13.0,23.7,13.9,5.5,11.8,0.461,0.2,1.4,0.167,2.8,3.8,0.72,0.8,3.2,4.0,2.6,0.5,0.2,2.5,2.1,2020.0,True,198.0,103.0,Eurocup
254,Johnny O'Bryant,LOK,10.0,26.1,13.8,4.9,12.2,0.402,1.9,5.5,0.345,2.1,2.9,0.724,1.6,3.5,5.1,1.4,0.4,0.3,2.1,2.5,2020.0,False,206.0,117.0,Eurocup
255,Hassan Martin,BUD,9.0,26.7,13.6,6.0,9.0,0.667,0.0,0.1,0.0,1.6,2.8,0.56,2.7,5.3,8.0,0.6,1.8,1.7,1.2,2.6,2020.0,False,201.0,107.0,Eurocup
256,Sammy Mejia,TOF,12.0,27.8,13.4,4.9,9.3,0.532,2.1,4.1,0.51,1.5,1.7,0.9,0.8,1.7,2.5,2.7,1.1,0.2,1.5,2.1,2020.0,False,198.0,86.0,Eurocup
257,Isaia Cordinier,N92,8.0,28.3,13.4,4.4,11.5,0.38,1.3,4.3,0.294,3.4,4.3,0.794,0.9,2.9,3.8,2.9,1.4,0.4,2.1,3.8,2020.0,True,196.0,89.0,Eurocup
258,Zach Auguste,GAL,16.0,25.3,13.4,5.4,7.8,0.688,0.0,0.1,0.0,2.6,5.3,0.5,2.5,4.6,7.1,0.9,1.2,0.8,2.4,3.1,2020.0,False,208.0,108.0,Eurocup
259,"James Blackmon, Jr.",TREN,16.0,27.8,13.4,4.4,10.4,0.422,2.5,6.0,0.417,2.1,2.6,0.829,0.4,2.2,2.6,1.8,0.7,0.0,1.9,2.3,2020.0,False,193.0,91.0,Eurocup
260,Erick Green,BAHC,9.0,32.1,21.3,7.0,13.8,0.508,2.2,5.7,0.392,5.1,5.7,0.902,0.4,2.6,3.0,3.4,1.6,0.0,1.2,2.1,2021.0,False,191.0,81.0,Eurocup
261,Jaka Blazic,COL,16.0,31.3,19.1,6.4,13.3,0.481,2.6,5.5,0.466,3.8,5.1,0.744,0.7,4.3,4.9,2.3,0.9,0.0,2.4,1.4,2021.0,True,196.0,96.0,Eurocup
262,Rob Gray,ASM,13.0,25.4,18.2,5.9,12.3,0.481,2.5,4.9,0.5,3.8,4.6,0.833,0.8,1.6,2.4,1.2,0.5,0.1,1.5,2.8,2021.0,True,193.0,84.0,Eurocup
263,Dylan Osetkowski,RUL,10.0,27.3,17.9,5.6,10.3,0.544,1.3,2.5,0.52,5.4,6.3,0.857,1.6,3.7,5.3,2.8,1.0,0.1,1.9,2.1,2021.0,False,206.0,113.0,Eurocup
264,Jacob Pullen,MOR,12.0,29.3,17.7,5.7,12.3,0.459,2.6,6.1,0.425,3.8,4.9,0.763,0.4,1.6,2.0,2.9,0.8,0.1,2.3,1.6,2021.0,True,185.0,91.0,Eurocup
265,Danilo Andjusic,JLB,15.0,28.6,17.4,4.8,11.1,0.434,1.9,5.7,0.341,5.9,6.5,0.907,0.5,1.9,2.4,3.1,0.8,0.1,3.3,2.2,2021.0,True,193.0,91.0,Eurocup
266,Marco Belinelli,BOL,11.0,21.0,17.1,4.8,9.1,0.53,2.2,4.5,0.49,5.1,6.0,0.848,0.5,1.6,2.1,1.4,0.4,0.0,1.0,1.8,2021.0,True,196.0,102.0,Eurocup
267,Jordan Crawford,LOK,14.0,25.2,16.6,5.9,13.1,0.454,2.2,6.0,0.369,2.5,3.3,0.761,0.4,1.5,1.9,2.2,0.8,0.1,0.6,1.7,2021.0,False,196.0,88.0,Eurocup
